dataset_1,column_1,dataset_2,column_2,matching_values
promises_to_pay,account_id,whatsapp_events,account_id,11723
promises_to_pay,borrower_id,account_status_history,borrower_id,9236
promises_to_pay,borrower_id,accounts,borrower_id,8464
promises_to_pay,borrower_id,borrowers,borrower_id,8538
promises_to_pay,borrower_id,call_attempts,borrower_id,9299
promises_to_pay,borrower_id,call_dispositions,borrower_id,8810
promises_to_pay,borrower_id,calls,borrower_id,9293
promises_to_pay,borrower_id,complaints,borrower_id,4464
promises_to_pay,borrower_id,field_visits,borrower_id,8158
promises_to_pay,borrower_id,payments,borrower_id,8103
promises_to_pay,borrower_id,sms_events,borrower_id,9096
promises_to_pay,borrower_id,whatsapp_events,borrower_id,9234
promises_to_pay,agent_id,agent_sessions,agent_id,1000
promises_to_pay,agent_id,agents,agent_id,1000
promises_to_pay,agent_id,call_attempts,agent_id,1000
promises_to_pay,agent_id,call_dispositions,agent_id,1000
promises_to_pay,agent_id,calls,agent_id,1000
promises_to_pay,agent_id,field_visits,agent_id,1000
sms_events,account_id,account_status_history,account_id,20120
sms_events,account_id,accounts,account_id,23207
sms_events,account_id,call_attempts,account_id,22783
sms_events,account_id,call_dispositions,account_id,15937
sms_events,account_id,calls,account_id,22028
sms_events,account_id,complaints,account_id,5442
sms_events,account_id,daily_targeting,account_id,18069
sms_events,account_id,field_visits,account_id,13062
sms_events,account_id,payments,account_id,13129
sms_events,account_id,promises_to_pay,account_id,10433
sms_events,account_id,whatsapp_events,account_id,20089
sms_events,borrower_id,account_status_history,borrower_id,11645
sms_events,borrower_id,accounts,borrower_id,10702
sms_events,borrower_id,borrowers,borrower_id,10761
sms_events,borrower_id,call_attempts,borrower_id,11728
sms_events,borrower_id,call_dispositions,borrower_id,11100
sms_events,borrower_id,calls,borrower_id,11720
sms_events,borrower_id,complaints,borrower_id,5708
sms_events,borrower_id,field_visits,borrower_id,10292
sms_events,borrower_id,payments,borrower_id,10235
sms_events,borrower_id,promises_to_pay,borrower_id,9096
sms_events,borrower_id,whatsapp_events,borrower_id,11649
sms_events,provider_id,agents,vendor_id,15
sms_events,provider_id,call_attempts,vendor_id,15
sms_events,provider_id,calls,vendor_id,15
sms_events,provider_id,payments,provider_id,15
sms_events,provider_id,vendor_telephony,vendor_id,15
sms_events,provider_id,whatsapp_events,provider_id,15
vendor_telephony,vendor_id,agents,vendor_id,15
vendor_telephony,vendor_id,call_attempts,vendor_id,15
vendor_telephony,vendor_id,calls,vendor_id,15
vendor_telephony,vendor_id,payments,provider_id,15
vendor_telephony,vendor_id,sms_events,provider_id,15
vendor_telephony,vendor_id,whatsapp_events,provider_id,15
whatsapp_events,account_id,account_status_history,account_id,22473
whatsapp_events,account_id,accounts,account_id,25924
whatsapp_events,account_id,call_attempts,account_id,25454
whatsapp_events,account_id,call_dispositions,account_id,17771
whatsapp_events,account_id,calls,account_id,24539
whatsapp_events,account_id,complaints,account_id,6103
whatsapp_events,account_id,daily_targeting,account_id,20222
whatsapp_events,account_id,field_visits,account_id,14567
whatsapp_events,account_id,payments,account_id,14666
whatsapp_events,account_id,promises_to_pay,account_id,11723
whatsapp_events,account_id,sms_events,account_id,20089
whatsapp_events,borrower_id,account_status_history,borrower_id,11833
whatsapp_events,borrower_id,accounts,borrower_id,10868
whatsapp_events,borrower_id,borrowers,borrower_id,10939
whatsapp_events,borrower_id,call_attempts,borrower_id,11917
whatsapp_events,borrower_id,call_dispositions,borrower_id,11279
whatsapp_events,borrower_id,calls,borrower_id,11909
whatsapp_events,borrower_id,complaints,borrower_id,5796
whatsapp_events,borrower_id,field_visits,borrower_id,10466
whatsapp_events,borrower_id,payments,borrower_id,10401
whatsapp_events,borrower_id,promises_to_pay,borrower_id,9234
whatsapp_events,borrower_id,sms_events,borrower_id,11649
whatsapp_events,provider_id,agents,vendor_id,15
whatsapp_events,provider_id,call_attempts,vendor_id,15
whatsapp_events,provider_id,calls,vendor_id,15
whatsapp_events,provider_id,payments,provider_id,15
whatsapp_events,provider_id,sms_events,provider_id,15
whatsapp_events,provider_id,vendor_telephony,vendor_id,15
